name,quickness
Buff Dunerunner,30
Carmine Serthis,21
Charcoal Kitsune,20
Crowned Bonepriest,17
Desert Strangler,25
Dunerunner,30
Dusk Fuiran,18
Fan Scorpion,24
Fennec Kitsune,20
Fuiran,19
Gabboon Viperpillar,19
Greatshell,12
Iridescent Scaleback,23
Masked Gryphon,25
Nightsky Fuiran,20
Opheodrys Serthis,20
Peacock Scorpion,20
Prickly Strangler,25
Redtail Gryphon,25
Sanddrift Fuiran,18
Scaleback,16
Serthis Alchemist,22
Serthis Potionmaster,23
Shadow Serpent,23
Shattered Serpent,22
Storm Seeker,22
Tricolor Viperpillar,19
